Round,ClusterName,SimilarityScore,Members,MotifsCount,Motifs_Length,Total_MotifLength
0,G0,N/A,662628_3292,1,61,61
0,G1,N/A,0a7f85_2964,1,63,63
0,G2,N/A,1e9b7a_3356,1,31,31
0,G3,N/A,5bf528_3344,1,127,127
0,G4,N/A,452eea_2900,1,63,63
0,G5,N/A,1e9b7a_3436,1,49,49
0,G6,N/A,a134d9_3364,1,93,93
0,G7,N/A,cc462e_2936,1,87,87
0,G8,N/A,58eca9_3312,1,63,63
0,G9,N/A,30aeef_3352,1,63,63
0,G10,N/A,00c03e_3180,1,63,63
0,G11,N/A,91cb7c_3328,1,63,63
0,G12,N/A,662628_3240,1,599,599
0,G13,N/A,3845b8_3328,1,158,158
0,G14,N/A,31917e_3252,1,63,63
0,G15,N/A,72eaae_2952,1,453,453
0,G16,N/A,1d412b_3436,1,203,203
0,G17,N/A,72eaae_2964,1,252,252
0,G18,N/A,0720d6_3344,1,63,63
0,G19,N/A,dacdd4_3300,1,85,85
0,G20,N/A,00c03e_3256,1,63,63
0,G21,N/A,bb4c17_3372,1,63,63
0,G22,N/A,dacdd4_3292,1,86,86
0,G23,N/A,1e9b7a_3548,1,0,0
0,G24,N/A,cc462e_2952,1,85,85
0,G25,N/A,9bafc2_3296,1,6,6
0,G26,N/A,c2896b_2936,1,63,63
0,G27,N/A,a134d9_3404,1,87,87
0,G28,N/A,a134d9_2900,1,203,203
0,G29,N/A,01afaf_3216,1,223,223
0,G30,N/A,53c295_3320,1,63,63
0,G31,N/A,ad9850_3204,1,63,63
0,G32,N/A,dacdd4_3284,1,87,87
0,G33,N/A,d76b44_3316,1,63,63
0,G34,N/A,dacdd4_3264,1,93,93
0,G35,N/A,d9e962_3256,1,0,0
0,G36,N/A,0c9440_3316,1,63,63
0,G37,N/A,e0966a_3264,1,265,265
0,G38,N/A,7ce44a_2876,1,3,3
0,G39,N/A,fd14ec_3296,1,9,9
0,G40,N/A,74a7e6_3320,1,111,111
0,G41,N/A,1e9b7a_3388,1,61,61
0,G42,N/A,e7b5bc_3200,1,63,63
0,G43,N/A,c8981a_3312,1,104,104
0,G44,N/A,c68fd2_3208,1,63,63
0,G45,N/A,30aeef_3364,1,17,17
0,G46,N/A,1e9b7a_3480,1,17,17
0,G47,N/A,5bf528_3316,1,61,61
0,G48,N/A,fe35f6_3360,1,3,3
0,G49,N/A,4f002d_3112,1,63,63
0,G50,N/A,cc462e_2904,1,93,93
0,G51,N/A,7ce44a_3304,1,35,35
0,G52,N/A,1e9b7a_3368,1,63,63
0,G53,N/A,bd5efb_3264,1,63,63
0,G54,N/A,e37a94_3412,1,63,63
0,G55,N/A,cc462e_2944,1,86,86
0,G56,N/A,4b0f08_3208,1,63,63
0,G57,N/A,e0966a_2876,1,63,63
0,G58,N/A,73f36e_3276,1,63,63
0,G59,N/A,1e9b7a_3452,1,21,21
0,G60,N/A,1e9b7a_3312,1,272,272
0,G61,N/A,a134d9_3420,1,86,86
0,G62,N/A,452eea_3400,1,569,569
0,G63,N/A,1d412b_3052,1,63,63
0,G64,N/A,31917e_3248,1,63,63
0,G65,N/A,60df90_3416,1,63,63
0,G66,N/A,701a96_3316,1,63,63
0,G67,N/A,f1c2e7_3224,1,63,63
0,G68,N/A,bed569_3272,1,63,63
0,G69,N/A,1e9b7a_3520,1,2,2
0,G70,N/A,7135d7_3416,1,105,105
0,G71,N/A,452eea_3372,1,239,239
0,G72,N/A,d3f953_3356,1,15,15
0,G73,N/A,c68fd2_3168,1,63,63
0,G74,N/A,dfbed1_3356,1,12,12
0,G75,N/A,a134d9_3428,1,85,85
1,G76,1.0,"{'00c03e_3256', '0a7f85_2964', '31917e_3252', '4f002d_3112'}",1,[63],63
1,G77,1.0,"{'30aeef_3352', '53c295_3320', 'e7b5bc_3200', 'bb4c17_3372'}",1,[63],63
1,G78,1.0,"{'c68fd2_3208', '4b0f08_3208'}",1,[63],63
1,G79,1.0,"{'701a96_3316', 'bed569_3272'}",1,[63],63
1,G80,0.9901477832512315,"{'1d412b_3436', 'a134d9_2900'}",5,"[88, 1, 59, 1, 52]",201
1,G81,0.989247311827957,"{'a134d9_3364', 'dacdd4_3264'}",2,"[20, 72]",92
1,G82,0.9885057471264368,"{'a134d9_3404', 'cc462e_2936'}",2,"[20, 66]",86
1,G83,0.9883720930232558,"{'dacdd4_3292', 'cc462e_2944'}",2,"[20, 65]",85
1,G84,0.9882352941176471,"{'dacdd4_3300', 'cc462e_2952'}",2,"[20, 64]",84
1,G85,0.9841269841269841,"{'452eea_2900', '0c9440_3316'}",2,"[21, 41]",62
1,G86,0.9841269841269841,"{'0720d6_3344', '58eca9_3312'}",3,"[13, 4, 45]",62
1,G87,0.9841269841269841,"{'bd5efb_3264', '91cb7c_3328'}",3,"[14, 4, 44]",62
1,G88,0.9841269841269841,"{'60df90_3416', 'ad9850_3204'}",2,"[17, 45]",62
1,G89,0.9841269841269841,"{'c68fd2_3168', 'e37a94_3412'}",3,"[13, 3, 46]",62
1,G90,0.9682539682539683,"{'1e9b7a_3368', '00c03e_3180'}",5,"[13, 3, 1, 2, 42]",61
1,G91,0.9682539682539683,"{'1d412b_3052', 'c2896b_2936'}",4,"[13, 2, 7, 39]",61
1,G92,0.9682539682539683,"{'f1c2e7_3224', '31917e_3248'}",4,"[13, 6, 7, 35]",61
1,G93,0.9523809523809523,"{'e0966a_2876', '73f36e_3276'}",5,"[13, 1, 3, 1, 42]",60
1,G94,0.9365079365079365,"{'d76b44_3316', '5bf528_3316'}",5,"[2, 9, 1, 11, 36]",59
1,G95,0.9195402298850575,"{'a134d9_3420', 'dacdd4_3284'}",9,"[2, 1, 16, 38, 8, 8, 5, 1, 1]",80
1,G96,0.8279569892473119,"{'a134d9_3428', 'cc462e_2904'}",6,"[19, 36, 8, 8, 5, 1]",77
2,G97,0.9841269841269841,"{'G76', 'G87'}",2,"[23, 39]",62
2,G98,0.9841269841269841,"{'G77', 'G79'}",2,"[14, 48]",62
2,G99,0.9838709677419355,"{'G86', 'G85'}",3,"[13, 7, 41]",61
2,G100,0.9836065573770492,"{'G90', 'G91'}",2,"[14, 46]",60
2,G101,0.9523809523809523,"{'G89', 'G78'}",4,"[13, 7, 3, 37]",60
2,G102,0.95,"{'G96', 'G95'}",4,"[3, 15, 57, 1]",76
2,G103,0.9418604651162791,"{'G82', 'G83'}",6,"[58, 8, 8, 5, 1, 1]",81
2,G104,0.9354838709677419,"{'G88', 'G93'}",3,"[14, 4, 40]",58
2,G105,0.9016393442622951,"{'G92', 'G94'}",4,"[2, 9, 9, 35]",55
2,G106,0.8369565217391305,"{'G84', 'G81'}",6,"[19, 36, 8, 8, 5, 1]",77
3,G107,0.987012987012987,"{'G102', 'G106'}",2,"[3, 73]",76
3,G108,0.9838709677419355,"{'G98', 'G99'}",2,"[20, 41]",61
3,G109,0.9833333333333333,"{'G101', 'G100'}",3,"[13, 9, 37]",59
3,G110,0.9193548387096774,"{'G104', 'G97'}",2,"[18, 39]",57
4,G111,0.9382716049382716,"{'G103', 'G107'}",4,"[3, 15, 57, 1]",76
4,G112,0.9344262295081968,"{'G109', 'G108'}",3,"[13, 7, 37]",57
4,G113,0.8947368421052632,"{'G110', 'G105'}",4,"[2, 9, 5, 35]",51
5,G114,0.8947368421052632,"{'G112', 'G113'}",4,"[2, 9, 5, 35]",51

Residual Clusters:,,
ClusterName,Members,MotifLength
G0,{'662628_3292'},[61]
G2,{'1e9b7a_3356'},[31]
G3,{'5bf528_3344'},[127]
G5,{'1e9b7a_3436'},[49]
G12,{'662628_3240'},[599]
G13,{'3845b8_3328'},[158]
G15,{'72eaae_2952'},[453]
G17,{'72eaae_2964'},[252]
G23,{'1e9b7a_3548'},[0]
G25,{'9bafc2_3296'},[6]
G29,{'01afaf_3216'},[223]
G35,{'d9e962_3256'},[0]
G37,{'e0966a_3264'},[265]
G38,{'7ce44a_2876'},[3]
G39,{'fd14ec_3296'},[9]
G40,{'74a7e6_3320'},[111]
G41,{'1e9b7a_3388'},[61]
G43,{'c8981a_3312'},[104]
G45,{'30aeef_3364'},[17]
G46,{'1e9b7a_3480'},[17]
G48,{'fe35f6_3360'},[3]
G51,{'7ce44a_3304'},[35]
G59,{'1e9b7a_3452'},[21]
G60,{'1e9b7a_3312'},[272]
G62,{'452eea_3400'},[569]
G69,{'1e9b7a_3520'},[2]
G70,{'7135d7_3416'},[105]
G71,{'452eea_3372'},[239]
G72,{'d3f953_3356'},[15]
G74,{'dfbed1_3356'},[12]
G80,"{'1d412b_3436', 'a134d9_2900'}","[88, 1, 59, 1, 52]"
G111,"{'G103', 'G107'}","[3, 15, 57, 1]"
G114,"{'G112', 'G113'}","[2, 9, 5, 35]"
